id_codedep_codecommune,Code_postal,Id_bien,Surface_carrez,Type_local,Total_piece
85164,85690,447,52.9,Appartement,3
87085,87000,448,44.4,Appartement,2
87161,87400,449,65.74,Appartement,3
88160,88000,450,61.74,Appartement,3
88181,88230,451,70.19,Appartement,3
91086,91070,452,66.05,Appartement,3
91156,91630,453,89.43,Maison,5
91174,91100,454,71.64,Appartement,3
91326,91260,455,107.15,Maison,5
92002,92160,456,87.01,Appartement,4
92004,92600,457,52.9,Appartement,3
92004,92600,458,63.2,Appartement,3
92004,92600,459,122.8,Maison,5
92004,92600,460,53.39,Appartement,2
92004,92600,461,25.50,Appartement,1
92009,92270,462,27.73,Appartement,2
92009,92270,463,56.21,Appartement,3
92012,92100,464,96.33,Appartement,4
92012,92100,465,49.42,Appartement,2
92012,92100,466,51.34,Appartement,2
92012,92100,467,149.71,Appartement,5
92024,92110,468,44.5,Appartement,2
92032,92260,469,23.95,Appartement,1
92036,92230,470,76.07,Maison,3
92040,92130,471,70,Maison,3
92044,92300,472,66.05,Appartement,3
92044,92300,473,85.07,Appartement,4
92048,92190,474,58.94,Appartement,3
92050,92000,475,30.52,Appartement,3
92050,92000,476,71.62,Appartement,3
92051,92200,477,48.65,Appartement,3
92051,92200,478,122.79,Appartement,4
92060,92350,479,68.51,Appartement,3
92062,92800,480,23.28,Appartement,1
92063,92500,481,22.51,Appartement,1
92072,92310,482,53.68,Appartement,2
92073,92150,483,88.9,Maison,4
93006,93170,484,64.41,Appartement,4
93045,93260,485,21.28,Appartement,1
93045,93260,486,49.28,Appartement,3
93048,93100,487,64.41,Appartement,3
93048,93100,488,82.56,Appartement,4
93072,93240,489,73.6,Appartement,4
93073,93290,490,93.49,Appartement,5
94002,94140,491,72.52,Maison,4
94002,94140,492,59.69,Appartement,3
94004,94470,493,85.22,Appartement,4
94018,94220,494,34.92,Appartement,2
94022,94600,495,49.45,Maison,1
94028,94000,496,81.95,Appartement,4
94037,94250,497,68.12,Appartement,3
94041,94200,498,20.50,Appartement,1
94043,94270,499,26.72,Appartement,1
94044,94450,500,41.7,Appartement,2
94044,94450,501,63.77,Appartement,3
94052,94130,502,44.04,Appartement,3
94052,94130,503,28.50,Appartement,1
94060,94510,504,94.35,Maison,5
94060,94510,505,77.15,Appartement,4
94060,94510,506,72.75,Appartement,4
94068,94100,507,304.8,Maison,9
94074,94460,508,82.21,Maison,4
94078,94190,509,40.04,Appartement,2
94080,94300,510,77.41,Appartement,4
94080,94300,511,146.82,Appartement,5
95039,95430,512,41.75,Appartement,3
95199,95330,513,56.91,Appartement,3
95219,95120,514,69.31,Appartement,3
95306,95220,515,80.28,Appartement,4
95527,95700,516,77.7,Maison,4
01033,1200,517,108.65,Appartement,4
01258,1090,518,86.8,Appartement,3
01354,1630,519,52.58,Appartement,2
03190,3000,520,34.9,Appartement,1
06004,6600,521,22.47,Appartement,2
06012,6240,522,47.42,Appartement,2
06029,6400,523,66.12,Appartement,1
06029,6400,524,67.99,Appartement,2
06033,6510,525,59.74,Appartement,3
06083,6500,526,46.66,Appartement,2
06083,6500,527,42.84,Appartement,2
06092,6440,528,22.71,Appartement,1
07019,7200,529,59.05,Appartement,3
07042,7700,530,85.93,Appartement,5
07042,7700,531,69.46,Appartement,4
07304,7150,532,28.52,Appartement,2
11262,11100,533,27.76,Appartement,1
11266,11210,534,21.51,Appartement,2
13022,13260,535,50.43,Appartement,2
13119,13470,536,64.3,Appartement,3
13201,13001,537,53.66,Appartement,3
13201,13001,538,20.37,Appartement,1
13202,13002,539,35.27,Appartement,1
13204,13004,540,55.7,Appartement,3
13204,13004,541,33.46,Appartement,0
13207,13007,542,22.80,Appartement,2
13208,13008,543,51.43,Appartement,1
13208,13008,544,20.45,Appartement,1
13208,13008,545,17.10,Appartement,1
13208,13008,546,103.14,Appartement,4
13209,13009,547,68.81,Appartement,3
13209,13009,548,76.15,Appartement,5
13210,13010,549,48.14,Appartement,2
13210,13010,550,27.30,Appartement,1
13213,13013,551,67.2,Appartement,4
14754,14640,552,36.23,Appartement,2
19031,19100,553,27,Appartement,1
22278,22000,554,36.08,Appartement,2
25265,25870,555,32,Appartement,1
26058,26500,556,66.81,Appartement,4
26281,26100,557,73.65,Appartement,4
27299,27930,558,40.43,Appartement,2
28085,28000,559,32.2,Appartement,2
28085,28000,560,65.63,Appartement,3
28134,28100,561,58.87,Appartement,3
30189,30000,562,42.47,Appartement,2
31066,31660,563,104.56,Maison,5
31113,31320,564,78.83,Appartement,3
31555,31000,565,68.06,Appartement,3
33051,33380,566,42,Maison,2
33063,33800,567,51.43,Appartement,2
33081,33410,568,58.22,Appartement,3
33249,33310,569,86.01,Maison,4
33281,33700,570,59.74,Appartement,3
33522,33400,571,21.55,Appartement,1
33550,33140,572,52.66,Appartement,3
34108,34110,573,36.69,Appartement,2
34301,34200,574,44.09,Appartement,2
34301,34200,575,22.13,Appartement,1
37261,37000,576,51.26,Appartement,2
38185,38000,577,18,Appartement,0
38185,38000,578,73.12,Appartement,3
38186,38650,579,35.6,Appartement,2
38229,38240,580,132.05,Appartement,4
38249,38330,581,74.5,Appartement,3
38249,38330,582,42.06,Appartement,2
39470,39220,583,23.57,Appartement,2
40133,40530,584,23.53,Appartement,1
40281,40280,585,42,Appartement,2
40312,40220,586,88.35,Appartement,4
42218,42000,587,74.57,Appartement,3
42218,42100,588,47.9,Appartement,2
44109,44000,589,69.11,Appartement,4
44132,44380,590,24.04,Appartement,1
44162,44800,591,103.79,Appartement,5
44162,44800,592,61.06,Appartement,3
45075,45380,593,69.81,Appartement,4
45258,45390,594,140,Appartement,3
49007,49100,595,77.18,Appartement,3
49007,49100,596,82.6,Appartement,4
49099,49300,597,53.6,Appartement,2
49347,49125,598,57,Appartement,3
51454,51100,599,74.15,Appartement,3
51454,51100,600,92.5,Appartement,4
53062,53200,601,67.77,Appartement,3
53073,53800,602,52.26,Appartement,3
59220,59155,603,58.27,Appartement,3
59350,59800,604,133.89,Appartement,5
59410,59370,605,32.69,Appartement,1
60057,60000,606,21.92,Appartement,1
62604,62152,607,71.74,Appartement,4
66004,66210,608,30.62,Appartement,2
69078,69850,609,64.3,Appartement,3
69081,69130,610,102.76,Appartement,6
69143,69250,611,53.05,Appartement,2
69149,69600,612,38.12,Appartement,2
69149,69600,613,46.65,Appartement,2
69149,69600,614,72,Appartement,3
69382,69002,615,29.02,Appartement,1
69385,69005,616,143.12,Appartement,3
73235,73130,617,17.94,Appartement,1
73306,73450,618,42.3,Appartement,2
74019,74370,619,46.28,Appartement,2
74056,74400,620,33.66,Appartement,2
75106,75006,621,85.61,Appartement,4
75107,75007,622,50.04,Appartement,3
75109,75009,623,39.86,Appartement,2
75110,75010,624,31.65,Appartement,1
75111,75011,625,62.72,Appartement,3
75113,75013,626,30.81,Appartement,2
75116,75016,627,40.8,Appartement,1
75120,75020,628,55.23,Appartement,3
77053,77170,629,71.59,Appartement,4
77259,77230,630,60.22,Appartement,3
78190,78290,631,23.62,Appartement,1
78362,78711,632,79.74,Appartement,4
78401,78250,633,156.5,Maison,6
83009,83150,634,84.28,Appartement,2
83019,83230,635,15.86,Appartement,1
83034,83320,636,87.49,Appartement,3
83062,83130,637,35.55,Appartement,2
83069,83400,638,121.99,Appartement,4
83130,83210,639,56.15,Appartement,3
83137,83000,640,81.5,Appartement,4
83137,83000,641,97.04,Appartement,2
83137,83100,642,65.4,Appartement,3
88225,88220,643,73.78,Appartement,4
90010,90000,644,34.48,Appartement,2
91201,91210,645,63.54,Appartement,3
91425,91310,646,25.35,Appartement,1
92004,92600,647,19.50,Appartement,1
92012,92100,648,61.23,Appartement,3
92024,92110,649,16.98,Appartement,1
92026,92400,650,59.72,Appartement,3
92026,92400,651,33.58,Appartement,2
93007,93150,652,53.1,Appartement,3
93063,93230,653,67,Appartement,3
94033,94120,654,52.05,Appartement,3
94068,94100,655,46.6,Appartement,2
94068,94210,656,41.64,Appartement,3
94069,94410,657,35.76,Appartement,2
94080,94300,658,36.15,Appartement,2
95277,95500,659,37.23,Appartement,2
95428,95160,660,115.26,Appartement,4
01143,1220,661,130.8,Appartement,6
01354,1630,662,58.71,Appartement,2
06027,6800,663,76.16,Appartement,3
06029,6400,664,83.21,Appartement,4
06030,6110,665,29.07,Appartement,1
06030,6110,666,90.45,Appartement,4
06044,6480,667,103.92,Appartement,5
06088,6000,668,69,Appartement,3
06088,6100,669,47.5,Appartement,3
06088,6200,670,52.8,Appartement,1
06094,6470,671,63.15,Appartement,3
06123,6700,672,66.02,Appartement,3
06155,6220,673,35.76,Appartement,3
06161,6270,674,26.71,Appartement,1
10362,10300,675,35.63,Appartement,2
10387,10000,676,32.34,Appartement,2
11144,11510,677,37.12,Appartement,2
11170,11430,678,32.53,Appartement,3
11202,11370,679,24.61,Maison,2
11262,11100,680,111.96,Appartement,4
11262,11100,681,34.34,Appartement,1
11379,11130,682,33.08,Appartement,2
13028,13600,683,28.34,Appartement,2
13201,13001,684,38.54,Appartement,2
13202,13002,685,20.20,Appartement,1
13204,13004,686,29.86,Appartement,2
13205,13005,687,27.65,Appartement,1
13208,13008,688,50.32,Appartement,2
13208,13008,689,69.32,Appartement,3
13210,13010,690,68.45,Appartement,3
13210,13010,691,68.89,Appartement,3
13212,13012,692,65.72,Appartement,4
13215,13015,693,125.85,Appartement,2
14715,14360,694,41.07,Appartement,2
18279,18100,695,30.84,Appartement,1
29019,29200,696,53.11,Appartement,3
29232,29000,697,84.69,Appartement,5
2A041,20169,698,87.16,Appartement,4
2A070,20111,699,37.78,Appartement,2
30034,30127,700,45.23,Appartement,3
30133,30240,701,26.40,Appartement,2
33009,33120,702,31.12,Appartement,1
33009,33120,703,52,Appartement,3
33063,33000,704,18.52,Appartement,1
33080,33140,705,47.34,Appartement,2
33096,33560,706,103.36,Maison,4
33167,33270,707,66.02,Maison,3
33312,33290,708,43.69,Appartement,2
33522,33400,709,62.84,Appartement,3
34333,34110,710,29.60,Maison,3
35032,35230,711,62.91,Appartement,3
37122,37300,712,57.03,Appartement,3
38185,38100,713,88.21,Appartement,4
38421,38400,714,83.63,Appartement,4
